Phenotype	Factor	Model	STD_Genotype	STD_Genotype_SE	p_value	fdr
AlcDep	Appetite/Weight	Multiple	0.10968588552960185	0.120188694795222	0.3614351057358503	1
AlcDep	Appetite/Weight	Single	0.5652479365927755	0.075903641945665	9.55574231014659e-14	1.3680939160284566e-12
AlcDep	Cog/Mood/Leth	Multiple	0.43854007014537183	0.120028331427671	2.5850727647654267e-4	0.0021352177211153953
AlcDep	Cog/Mood/Leth	Single	0.5334481162404143	0.0697136062054994	1.97897637937049e-14	2.9650781929182336e-13
AlcDep	Gating	Multiple	0.08367626468816085	0.112380289634555	0.4565237471913627	1
AlcDep	Gating	Single	0.6279489145901472	0.108105533328542	6.29732544280819e-9	6.761902173007316e-8
Anxiety	Appetite/Weight	Multiple	0.009717778499779228	0.0732045684172342	0.8943640376379639	1
Anxiety	Appetite/Weight	Single	0.7959054365858322	0.0574613137032865	1.2518360382281898e-43	7.331937607210301e-42
Anxiety	Cog/Mood/Leth	Multiple	0.5782698245711276	0.0816597680577615	1.4258064924025124e-12	1.8371921426309838e-11
Anxiety	Cog/Mood/Leth	Single	0.7541019556080648	0.0467032496502194	1.1985508891434198e-58	1.1031191759145126e-56
Anxiety	Gating	Multiple	0.41135650009842445	0.0753474048535236	4.776058565140762e-8	4.962973426243898e-7
Anxiety	Gating	Single	1.046285229234419	0.108738985221118	6.453067746151839e-22	1.2992126541921627e-20
BIP	Appetite/Weight	Multiple	-0.17843196943292686	0.0694552109586214	0.010198856721304637	0.07640416523480024
BIP	Appetite/Weight	Single	0.509333733193648	0.0440438620781618	6.253918263899859e-31	1.918655053642981e-29
BIP	Cog/Mood/Leth	Multiple	0.5052079418366684	0.0686307668760079	1.820884382693742e-13	2.5502839349169126e-12
BIP	Cog/Mood/Leth	Single	0.48381580457970774	0.0375477179197763	5.44258994007881e-38	2.1915411397768313e-36
BIP	Gating	Multiple	0.22851884023815824	0.0634680062485222	3.1755831846424647e-4	0.0025897652436272867
BIP	Gating	Single	0.6629559344028034	0.0711418794992003	1.17621842302291e-20	2.228810043659479e-19
BMI	Appetite/Weight	Multiple	0.9070368800101316	0.112105894106029	5.9121703680564415e-16	9.766665845688829e-15
BMI	Appetite/Weight	Single	0.24081103912927365	0.0301763486246527	1.46187975089634e-15	2.2971628783935935e-14
BMI	Cog/Mood/Leth	Multiple	-0.23055072810152355	0.108273605013646	0.033230196985148605	0.24328438742191474
BMI	Cog/Mood/Leth	Single	0.22319579117783794	0.027216658834216	2.3896382210510697e-16	4.0514693252364244e-15
BMI	Gating	Multiple	-0.1626125700701964	0.0498740531075817	0.0011122955705044995	0.008633882045270259
BMI	Gating	Single	0.10990971648512388	0.0360284399614011	0.00228369447475254	0.017309442132004357
EA	Appetite/Weight	Multiple	-0.3979638062732314	0.0601516728402306	3.6876914968868834e-11	4.4827313051725514e-10
EA	Appetite/Weight	Single	-0.12617681457576782	0.0305502505774698	3.62547700456168e-5	3.2898098900822854e-4
EA	Cog/Mood/Leth	Multiple	-0.017503483129358354	0.0611455771232012	0.7745986531752225	1
EA	Cog/Mood/Leth	Single	-0.11575521038103627	0.0284744747904233	4.79868387781278e-5	4.1778651393442796e-4
EA	Gating	Multiple	0.2925221377408416	0.0525742865295086	2.6370858160881914e-8	2.78521306407056e-7
EA	Gating	Single	0.03011218128825553	0.0349152221396346	0.388448682497045	1
MD	Appetite/Weight	Multiple	-0.010549300367069817	0.0576910716374024	0.8549665996327817	1
MD	Appetite/Weight	Single	0.9392811116901807	0.0547299322786408	5.101194591403419e-66	1.0955056747761795e-63
MD	Cog/Mood/Leth	Multiple	0.7660022475842839	0.0578234104221499	4.670820428089595e-40	2.3018485590152388e-38
MD	Cog/Mood/Leth	Single	0.8902597618703746	0.0347314646592678	6.599966496748978e-145	2.156934736380905e-142
MD	Gating	Multiple	0.34401808628632224	0.0640870406501528	7.962054931485235e-8	8.142328423584153e-7
MD	Gating	Single	1.1664855130817677	0.105562729815299	2.18591358506786e-28	5.633223420367587e-27
MDD	Appetite/Weight	Multiple	-0.05196408597124003	0.124626886240015	0.6767344636504322	1
MDD	Appetite/Weight	Single	0.8548051781578422	0.0828666825706371	6.0016366428809e-25	1.3809427133220587e-23
MDD	Cog/Mood/Leth	Multiple	0.6896048955182941	0.11860116622217	6.080259654157574e-9	6.639480658185953e-8
MDD	Cog/Mood/Leth	Single	0.8099844271999522	0.070742129966017	2.3566577094258298e-30	6.901409912881764e-29
MDD	Gating	Multiple	0.3667490526953929	0.112334183626618	0.0010953450909163792	0.008605995398530497
MDD	Gating	Single	1.0897139584358377	0.129227721797031	3.38246191224675e-17	6.053330831280769e-16
Neu	Appetite/Weight	Multiple	-0.09045876080195234	0.0735871166649329	0.2189820224240801	1
Neu	Appetite/Weight	Single	0.7207396336406215	0.0542476095995377	2.7867027160445298e-40	1.4961439838453055e-38
Neu	Cog/Mood/Leth	Multiple	0.7007152589390842	0.072479757422604	4.129570342609348e-22	8.582368743031134e-21
Neu	Cog/Mood/Leth	Single	0.6835372588922288	0.0422441574366223	6.907803589766829e-59	8.90090103080762e-57
Neu	Gating	Multiple	0.12652259516273517	0.0704160198769036	0.072369733872967107	0.5067959597671018
Neu	Gating	Single	0.8323191289277178	0.0821243821043781	3.86636670195365e-24	8.589522857957834e-23
PTSD	Appetite/Weight	Multiple	0.08690035312324669	0.108833943514199	0.4245837079919433	1
PTSD	Appetite/Weight	Single	0.8667663789284963	0.0814609323857996	1.9355409783827698e-26	4.796152882021024e-25
PTSD	Cog/Mood/Leth	Multiple	0.6717708155536242	0.108654765788171	6.302187151553127e-10	7.123286892408341e-9
PTSD	Cog/Mood/Leth	Single	0.8202553905050357	0.0689374769876117	1.20444797568149e-32	4.438464638663002e-31
PTSD	Gating	Multiple	0.2442573469741823	0.112899792614527	0.03050325537682125	0.225886842005045
PTSD	Gating	Single	1.0247134703520058	0.126944340784626	6.904897348464079e-16	1.1121445320479807e-14
Pain	Appetite/Weight	Multiple	0.32041534841374963	0.065318950625268	9.320964119930221e-7	8.578804915037525e-6
Pain	Appetite/Weight	Single	0.610435914490224	0.0460975785624394	5.0019666003793894e-40	2.3018485590152388e-38
Pain	Cog/Mood/Leth	Multiple	0.35882005971446695	0.0683367008328796	1.513389394622875e-7	1.5000347680998848e-6
Pain	Cog/Mood/Leth	Single	0.5756359901875349	0.037703284625588	1.2585864541880598e-52	9.009579867710446e-51
Pain	Gating	Multiple	0.06684573326547595	0.0624362631779806	0.28434261325292015	1
Pain	Gating	Single	0.6429665409147838	0.0716527853756348	2.8745895587127e-19	5.291414647175935e-18
Sleep	Appetite/Weight	Multiple	0.07302031331526318	0.0757898836329139	0.3353088349150268	1
Sleep	Appetite/Weight	Single	0.30424889943475175	0.0466210669741548	6.755293692102529e-11	7.771774730418796e-10
Sleep	Cog/Mood/Leth	Multiple	0.259401596958947	0.075195387380373	5.610913987972937e-4	0.004518638725964322
Sleep	Cog/Mood/Leth	Single	0.2869461153723505	0.0435752155004726	4.54678190559256e-11	5.326052330715959e-10
Sleep	Gating	Multiple	-0.02132675456743854	0.0708735548164563	0.7634711448919894	1
Sleep	Gating	Single	0.3101625604361084	0.0626698026037064	7.45312723653973e-7	6.959105819455308e-6
