cohorts	symptom	sumstats	Nca	Nco	samp_prev	filename	pop_prev	trait_name	h2	se	LambdaGC	MeanChiSq	Intercept	InterceptSE
AGDS_PGC	MDD1	AGDS_PGC.MDD1_depressed	25820	1623	0.9408592355063222	meta/munged/AGDS_PGC.MDD1_depressed.sumstats.gz	0.3391850741539902	AGDS_PGC.MDD1	-0.7383	0.153	1.0312	1.0342	1.0819	0.0077
AGDS_PGC	MDD2	AGDS_PGC.MDD2_anhedonia	24488	2421	0.9100301014530454	meta/munged/AGDS_PGC.MDD2_anhedonia.sumstats.gz	0.26261412043600163	AGDS_PGC.MDD2	-0.2764	0.0814	1.0231	1.0247	1.0563	0.0077
AGDS_PGC	MDD3a	AGDS_PGC.MDD3a_weightLoss	9007	13960	0.3921713763225497	meta/munged/AGDS_PGC.MDD3a_weightLoss.sumstats.gz	0.14331684078533274	AGDS_PGC.MDD3a	0.1154	0.0258	1.0193	1.0228	0.9791	0.007
AGDS_PGC	MDD3b	AGDS_PGC.MDD3b_weightGain	7510	14436	0.34220359063155015	meta/munged/AGDS_PGC.MDD3b_weightGain.sumstats.gz	0.0896658685652876	AGDS_PGC.MDD3b	0.0468	0.0252	1.0553	1.0483	1.0293	0.0072
AGDS_PGC	MDD4a	AGDS_PGC.MDD4a_sleepProb	19368	6310	0.7542643508061375	meta/munged/AGDS_PGC.MDD4a_sleepProb.sumstats.gz	0.2617328873112341	AGDS_PGC.MDD4a	0.0363	0.0403	1.0193	1.0223	1.0123	0.0083
AGDS_PGC	MDD4b	AGDS_PGC.MDD4b_sleepMore	10559	13011	0.44798472634705133	meta/munged/AGDS_PGC.MDD4b_sleepMore.sumstats.gz	0.0805260855825545	AGDS_PGC.MDD4b	0.0029	0.0208	1.0274	1.0196	1.0182	0.0076
AGDS_PGC	MDD5a	AGDS_PGC.MDD5a_psychomotorFast	10686	12570	0.45949432404540763	meta/munged/AGDS_PGC.MDD5a_psychomotorFast.sumstats.gz	0.044238941334370965	AGDS_PGC.MDD5a	0.0374	0.0168	1.0099	1.0101	0.9885	0.0073
AGDS_PGC	MDD5b	AGDS_PGC.MDD5b_psychomotorSlow	12511	11838	0.5138198693991539	meta/munged/AGDS_PGC.MDD5b_psychomotorSlow.sumstats.gz	0.06440625341076532	AGDS_PGC.MDD5b	-8e-4	0.0212	1.0029	1.0038	1.0043	0.0079
AGDS_PGC	MDD6	AGDS_PGC.MDD6_fatigue	23523	2179	0.915220605400358	meta/munged/AGDS_PGC.MDD6_fatigue.sumstats.gz	0.29492176315737967	AGDS_PGC.MDD6	-0.7816	0.0901	1.0558	1.0484	1.1328	0.0079
AGDS_PGC	MDD7	AGDS_PGC.MDD7_worthless	21633	3727	0.8530362776025237	meta/munged/AGDS_PGC.MDD7_worthless.sumstats.gz	0.20385349307673398	AGDS_PGC.MDD7	-0.137	0.0485	1.0127	1.0096	1.0363	0.0069
