trait_name	filename	samp_prev	pop_prev	h2	se	LambdaGC	MeanChiSq	Intercept	InterceptSE
PGC1	sumstats/PGC/CasesAllCohorts/daner_MDD1_CasesAllCohorts.meta.ldsc.sumstats.gz	0.9101474143982529	0.23743158355323774	-2.7561	0.318	1.0436	1.0483	1.1372	0.0087
PGC2	sumstats/PGC/CasesAllCohorts/daner_MDD2_CasesAllCohorts.meta.ldsc.sumstats.gz	0.8820384023333063	0.20382043126924584	-0.876	0.1588	1.0405	1.0386	1.0926	0.0084
PGC3a	sumstats/PGC/CasesAllCohorts/daner_MDD3a_CasesAllCohorts.meta.ldsc.sumstats.gz	0.5261034454934237	0.10382676480472328	0.1008	0.0385	0.9898	0.9903	0.9662	0.0069
PGC3b	sumstats/PGC/CasesAllCohorts/daner_MDD3b_CasesAllCohorts.meta.ldsc.sumstats.gz	0.23601829053816392	0.041902747296446205	-0.1527	0.0506	1.0375	1.0365	1.0684	0.0075
PGC4a	sumstats/PGC/CasesAllCohorts/daner_MDD4a_CasesAllCohorts.meta.ldsc.sumstats.gz	0.7481760602902269	0.16898770310580344	-0.0125	0.086	1.0195	1.0158	1.0175	0.0088
PGC4b	sumstats/PGC/CasesAllCohorts/daner_MDD4b_CasesAllCohorts.meta.ldsc.sumstats.gz	0.30945724477007613	0.05529607679276183	-0.1519	0.0425	1.0016	1.0016	1.034	0.0068
PGC5a	sumstats/PGC/CasesAllCohorts/daner_MDD5a_CasesAllCohorts.meta.ldsc.sumstats.gz	0.5019794140934284	0.1010207835981469	0.1751	0.0457	0.9986	0.9941	0.9599	0.0067
PGC5b	sumstats/PGC/CasesAllCohorts/daner_MDD5b_CasesAllCohorts.meta.ldsc.sumstats.gz	0.47251472425486346	0.09213994901727908	0.1331	0.0432	1.0046	1.0016	0.9718	0.0075
PGC6	sumstats/PGC/CasesAllCohorts/daner_MDD6_CasesAllCohorts.meta.ldsc.sumstats.gz	0.8735991034261927	0.19790654256807388	-1.4111	0.1339	1.0588	1.0562	1.169	0.0086
PGC7	sumstats/PGC/CasesAllCohorts/daner_MDD7_CasesAllCohorts.meta.ldsc.sumstats.gz	0.7658895705521472	0.15175915914101906	-0.1886	0.0718	1.0105	1.0088	1.0352	0.0075
PGC8	sumstats/PGC/CasesAllCohorts/daner_MDD8_CasesAllCohorts.meta.ldsc.sumstats.gz	0.878567766193813	0.16417940719801147	-1.3051	0.1349	1.0741	1.0758	1.1836	0.0091
PGC9	sumstats/PGC/CasesAllCohorts/daner_MDD9_CasesAllCohorts.meta.ldsc.sumstats.gz	0.5441224093264249	0.0945824150089551	0.1249	0.0428	0.9927	0.9974	0.9663	0.0076
UKB_CIDI1	sumstats/UKB/CIDI/UKB_CIDI_MDD1.eur.bgenie.OR.tsv.ldsc.sumstats.gz	0.5476554536187563	0.23743158355323774	0.0751	0.0057	1.1207	1.1288	0.9988	0.0059
UKB_CIDI2	sumstats/UKB/CIDI/UKB_CIDI_MDD2.eur.bgenie.OR.tsv.ldsc.sumstats.gz	0.39536810441521364	0.20382043126924584	0.0853	0.006	1.1301	1.1349	0.9884	0.0068
UKB_CIDI3a	sumstats/UKB/CIDI/UKB_CIDI_MDD3a.eur.bgenie.OR.tsv.ldsc.sumstats.gz	0.42269621641623384	0.10382676480472328	0.0298	0.0086	1.0255	1.0261	0.9951	0.0063
UKB_CIDI3b	sumstats/UKB/CIDI/UKB_CIDI_MDD3b.eur.bgenie.OR.tsv.ldsc.sumstats.gz	0.23949041218993247	0.041902747296446205	0.0621	0.0097	1.0649	1.067	1.0025	0.007
UKB_CIDI4a	sumstats/UKB/CIDI/UKB_CIDI_MDD4a.eur.bgenie.OR.tsv.ldsc.sumstats.gz	0.7510013789480596	0.16898770310580344	0.0424	0.0143	1.0195	1.0241	0.9941	0.0063
UKB_CIDI4b	sumstats/UKB/CIDI/UKB_CIDI_MDD4b.eur.bgenie.OR.tsv.ldsc.sumstats.gz	0.16672138682776283	0.05529607679276183	0.0428	0.0121	1.0405	1.0321	1.0011	0.0059
UKB_CIDI6	sumstats/UKB/CIDI/UKB_CIDI_MDD6.eur.bgenie.OR.tsv.ldsc.sumstats.gz	0.819006452421224	0.19790654256807388	0.0538	0.0205	1.0225	1.0358	1.005	0.0076
UKB_CIDI7	sumstats/UKB/CIDI/UKB_CIDI_MDD7.eur.bgenie.OR.tsv.ldsc.sumstats.gz	0.5096421387359824	0.15175915914101906	0.0542	0.0096	1.0588	1.0646	1.0085	0.0069
UKB_CIDI8	sumstats/UKB/CIDI/UKB_CIDI_MDD8.eur.bgenie.OR.tsv.ldsc.sumstats.gz	0.7866338652934278	0.16417940719801147	0.0589	0.0154	1.0225	1.0386	1	0.007
UKB_CIDI9	sumstats/UKB/CIDI/UKB_CIDI_MDD9.eur.bgenie.OR.tsv.ldsc.sumstats.gz	0.5209156804910379	0.0945824150089551	0.0261	0.0073	1.0285	1.0327	1.0007	0.0066
UKB_PHQ1	sumstats/UKB/PHQ9_INT/UKB_PHQ9_INT_MDD1.bgenie.QC.ldsc.sumstats.gz	NA	NA	0.042	0.0046	1.0864	1.1007	0.9959	0.0078
