Sample	sample_symptom	ref	h2	se	LambdaGC	MeanChiSq	Intercept	InterceptSE	Nca	Nco	samp_prev	pop_prev	cohorts	abbv	sumstats	filename
Clinical	ClinDep	MDD1	-1.0539	0.1384	1.0394	1.0359	1.0992	0.0065	29741	1798	0.9429912172231206	0.3309395401964565	Clin	Dep	Clin.MDD1_depressed	meta/munged/Clin.MDD1_depressed.sumstats.gz
Clinical	ClinAnh	MDD2	-0.3219	0.0738	1.0265	1.0238	1.0627	0.0065	28272	2730	0.9119411650861234	0.2640560466635897	Clin	Anh	Clin.MDD2_anhedonia	meta/munged/Clin.MDD2_anhedonia.sumstats.gz
Clinical	ClinAppDec	MDD3a	0.1172	0.0264	1.0241	1.0212	0.9829	0.0063	10366	14807	0.4117904103603066	0.17893042955911645	Clin	AppDec	Clin.MDD3a_weightLoss	meta/munged/Clin.MDD3a_weightLoss.sumstats.gz
Clinical	ClinAppInc	MDD3b	0.0668	0.0304	1.0519	1.0494	1.0277	0.0064	7941	14946	0.34696552628129507	0.13506320904310098	Clin	AppInc	Clin.MDD3b_weightGain	meta/munged/Clin.MDD3b_weightGain.sumstats.gz
Clinical	ClinSleDec	MDD4a	0.0094	0.0383	1.0141	1.0207	1.0181	0.0073	21239	6664	0.7611726337669784	0.2812509670497017	Clin	SleDec	Clin.MDD4a_sleepProb	meta/munged/Clin.MDD4a_sleepProb.sumstats.gz
Clinical	ClinSleInc	MDD4b	0.0236	0.0276	1.0279	1.0217	1.014	0.0064	10918	13300	0.4508217028656371	0.17655988555464402	Clin	SleInc	Clin.MDD4b_sleepMore	meta/munged/Clin.MDD4b_sleepMore.sumstats.gz
Clinical	ClinMotoInc	MDD5a	0.0343	0.0175	1.016	1.0124	0.9946	0.0062	11354	13117	0.4639777696048384	0.044575199751328266	Clin	MotoInc	Clin.MDD5a_psychomotorFast	meta/munged/Clin.MDD5a_psychomotorFast.sumstats.gz
Clinical	ClinMotoDec	MDD5b	3.8563	-5	1.0024	1.0061	1.0061	0.0064	13732	12433	0.524823237148863	0.06523150599199351	Clin	MotoDec	Clin.MDD5b_psychomotorSlow	meta/munged/Clin.MDD5b_psychomotorSlow.sumstats.gz
Clinical	ClinFatig	MDD6	-0.7367	0.085	1.0529	1.0486	1.1233	0.0067	26688	2388	0.9178704085843996	0.30709625869165436	Clin	Fatig	Clin.MDD6_fatigue	meta/munged/Clin.MDD6_fatigue.sumstats.gz
Clinical	ClinGuilt	MDD7	-0.1097	0.0456	1.0241	1.0204	1.04	0.0059	24941	4389	0.8503579952267303	0.23088257751804792	Clin	Guilt	Clin.MDD7_worthless	meta/munged/Clin.MDD7_worthless.sumstats.gz
Clinical	ClinConc	MDD8	-0.7738	0.0809	1.0543	1.0588	1.1422	0.0068	26434	2371	0.917687901406006	0.2861475467056066	Clin	Conc	Clin.MDD8_concentration	meta/munged/Clin.MDD8_concentration.sumstats.gz
Clinical	ClinSui	MDD9	0.0845	0.0264	1.0038	1.0079	0.9786	0.0061	19423	10035	0.6593455088600719	0.1759321305180272	Clin	Sui	Clin.MDD9_death	meta/munged/Clin.MDD9_death.sumstats.gz
Community	CommDep	MDD1	0.0838	0.0047	1.2097	1.2239	1.0032	0.0071	107956	99480	0.5204303978094449	0.3309395401964565	Comm	Dep	Comm.MDD1_depressed	meta/munged/Comm.MDD1_depressed.sumstats.gz
