Model	Name	chisq	df	p_chisq	AIC	CFI	SRMR	dAIC
Depr	Depression	5275.39313377473	170	0	5355.393133774726	0.9322350099852593	0.16874143883530063	2341.789514946732
Case-Comm	Case-Community	5286.60987816554	169	0	5368.609878165544	0.9320728544881283	0.1653805746209599	2355.0062593375496
Depr-Gate	Depression-Gating	3228.65825837778	166	0	3316.658258377782	0.9593486728382411	0.15083167806692852	303.05463954978813
Case-Comm-Gate	Case-Community-Gating	3284.95597311833	165	0	3374.9559731183263	0.9585881478462125	0.14907335054118162	361.3523542903322
Psyc-Soma	Psychological-Somatic	3628.96596017677	165	0	3718.9659601767676	0.9540220286938157	0.1482828980003788	705.3623413487735
Psyc-Neuv	Psychological-Neurovegetative	3709.72751897441	165	0	3799.7275189744105	0.9529500630117824	0.14405138344733243	786.1239001464164
Affc-Neuv	Affective-Neurovegetative	3332.59350517388	165	0	3422.593505173879	0.957955844553649	0.1448636370415065	408.98988634588477
Cog-Mood-Neuv	Cognitive-Mood-Neurovegetative	3902.93981823065	161	0	4000.939818230654	0.950332421400787	0.14357879960938302	987.33619940266
CogMood-App-Leth	Cognitive/Mood-Appetite-Lethargy	2919.60361882799	163	0	3013.603618827994	0.9634110024330234	0.1470382353245642	0
AffCog-Melc-Atyp	Affective/Cognitive-Melancholic-Atypical	3557.39950736855	163	0	3651.399507368549	0.9549453993065355	0.14815108149108672	637.7958885405551
CogMoodLeth-App	Cog/Mood/Leth-Appetite	2598.46913445458	165	0	2688.4691344545763	0.967700036511696	0.14777242498329635	NA
CogMoodLeth-App [Res]	Cog/Mood-Appetite-Lethargy residual correlations	2383.82303125702	159	0	2485.8230312570217	0.9704694414816786	0.13895695965599647	NA
