filename	study	cohort	group	reference
daner_MDD1_bidi1.gz	bidi1	PGC	Clin	MDD1
daner_MDD1_gep3.gz	gep3	PGC	Clin	MDD1
daner_MDD1_nes1.gz	nes1	PGC	Clin	MDD1
daner_MDD1_rot4.gz	rot4	PGC	Clin	MDD1
daner_MDD1_stm2.gz	stm2	PGC	Clin	MDD1
daner_MDD1_twg2.gz	twg2	PGC	Clin	MDD1
daner_MDD2_bidi1.gz	bidi1	PGC	Clin	MDD2
daner_MDD2_gens.gz	gens	PGC	Clin	MDD2
daner_MDD2_gep3.gz	gep3	PGC	Clin	MDD2
daner_MDD2_grnd.gz	grnd	PGC	Clin	MDD2
daner_MDD2_nes1.gz	nes1	PGC	Clin	MDD2
daner_MDD2_qi3c.gz	qi3c	PGC	Clin	MDD2
daner_MDD2_qi6c.gz	qi6c	PGC	Clin	MDD2
daner_MDD2_rad3.gz	rad3	PGC	Clin	MDD2
daner_MDD2_rot4.gz	rot4	PGC	Clin	MDD2
daner_MDD2_shp0.gz	shp0	PGC	Clin	MDD2
daner_MDD2_stm2.gz	stm2	PGC	Clin	MDD2
daner_MDD2_twg2.gz	twg2	PGC	Clin	MDD2
daner_MDD3a_bidi1.gz	bidi1	PGC	Clin	MDD3a
daner_MDD3a_boma.gz	boma	PGC	Clin	MDD3a
daner_MDD3a_col3.gz	col3	PGC	Clin	MDD3a
daner_MDD3a_gens.gz	gens	PGC	Clin	MDD3a
daner_MDD3a_gep3.gz	gep3	PGC	Clin	MDD3a
daner_MDD3a_grnd.gz	grnd	PGC	Clin	MDD3a
daner_MDD3a_mmi2.gz	mmi2	PGC	Clin	MDD3a
daner_MDD3a_mmo4.gz	mmo4	PGC	Clin	MDD3a
daner_MDD3a_nes1.gz	nes1	PGC	Clin	MDD3a
daner_MDD3a_qi3c.gz	qi3c	PGC	Clin	MDD3a
daner_MDD3a_qi6c.gz	qi6c	PGC	Clin	MDD3a
daner_MDD3a_qio2.gz	qio2	PGC	Clin	MDD3a
daner_MDD3a_rad3.gz	rad3	PGC	Clin	MDD3a
daner_MDD3a_rage.gz	rage	PGC	Clin	MDD3a
daner_MDD3a_rau2.gz	rau2	PGC	Clin	MDD3a
daner_MDD3a_rot4.gz	rot4	PGC	Clin	MDD3a
daner_MDD3a_shp0.gz	shp0	PGC	Clin	MDD3a
daner_MDD3a_stm2.gz	stm2	PGC	Clin	MDD3a
daner_MDD3a_twg2.gz	twg2	PGC	Clin	MDD3a
daner_MDD3b_bidi1.gz	bidi1	PGC	Clin	MDD3b
daner_MDD3b_boma.gz	boma	PGC	Clin	MDD3b
daner_MDD3b_col3.gz	col3	PGC	Clin	MDD3b
daner_MDD3b_gens.gz	gens	PGC	Clin	MDD3b
daner_MDD3b_gep3.gz	gep3	PGC	Clin	MDD3b
daner_MDD3b_grnd.gz	grnd	PGC	Clin	MDD3b
daner_MDD3b_nes1.gz	nes1	PGC	Clin	MDD3b
daner_MDD3b_qi3c.gz	qi3c	PGC	Clin	MDD3b
daner_MDD3b_qi6c.gz	qi6c	PGC	Clin	MDD3b
daner_MDD3b_qio2.gz	qio2	PGC	Clin	MDD3b
daner_MDD3b_rad3.gz	rad3	PGC	Clin	MDD3b
daner_MDD3b_rau2.gz	rau2	PGC	Clin	MDD3b
daner_MDD3b_shp0.gz	shp0	PGC	Clin	MDD3b
daner_MDD3b_stm2.gz	stm2	PGC	Clin	MDD3b
daner_MDD3b_twg2.gz	twg2	PGC	Clin	MDD3b
daner_MDD4a_bidi1.gz	bidi1	PGC	Clin	MDD4a
daner_MDD4a_boma.gz	boma	PGC	Clin	MDD4a
daner_MDD4a_col3.gz	col3	PGC	Clin	MDD4a
daner_MDD4a_gens.gz	gens	PGC	Clin	MDD4a
daner_MDD4a_gep3.gz	gep3	PGC	Clin	MDD4a
daner_MDD4a_grnd.gz	grnd	PGC	Clin	MDD4a
daner_MDD4a_mmi2.gz	mmi2	PGC	Clin	MDD4a
daner_MDD4a_mmo4.gz	mmo4	PGC	Clin	MDD4a
daner_MDD4a_nes1.gz	nes1	PGC	Clin	MDD4a
daner_MDD4a_qi3c.gz	qi3c	PGC	Clin	MDD4a
daner_MDD4a_qi6c.gz	qi6c	PGC	Clin	MDD4a
daner_MDD4a_qio2.gz	qio2	PGC	Clin	MDD4a
daner_MDD4a_rad3.gz	rad3	PGC	Clin	MDD4a
daner_MDD4a_rage.gz	rage	PGC	Clin	MDD4a
daner_MDD4a_rau2.gz	rau2	PGC	Clin	MDD4a
daner_MDD4a_rde4.gz	rde4	PGC	Clin	MDD4a
daner_MDD4a_twg2.gz	twg2	PGC	Clin	MDD4a
daner_MDD4b_boma.gz	boma	PGC	Clin	MDD4b
daner_MDD4b_col3.gz	col3	PGC	Clin	MDD4b
daner_MDD4b_gens.gz	gens	PGC	Clin	MDD4b
