GWAS	threshold	symptom	beta	se
Affective	PT0.025	Anh	0.1840979924575139	0.04767760713664929
Affective	PT0.025	App	0.14669913308898183	0.05500891806951602
Affective	PT0.025	Conc	0.14503969657754445	0.061562146589368684
Affective	PT0.025	Dep	0.16009852538964028	0.0470699710547764
Affective	PT0.025	Fatig	0.13978276639437437	0.06659618721613243
Affective	PT0.025	Guilt	0.2420265024297753	0.056604167907431925
Affective	PT0.025	Moto	0.16545499541527328	0.08139419536661263
Affective	PT0.025	Sle	0.19445960098397225	0.06415044561166758
Affective	PT0.025	Sui	0.10747438974177546	0.05446657067965255
Affective	PT0.05	Anh	0.21609076718480602	0.047518998088089744
Affective	PT0.05	App	0.19322108716300185	0.05492123754914219
Affective	PT0.05	Conc	0.15566997831649965	0.061373040614366554
Affective	PT0.05	Dep	0.1757838043775386	0.046899933955574576
Affective	PT0.05	Fatig	0.13368465197764848	0.0663891885286952
Affective	PT0.05	Guilt	0.3022232374280076	0.05660807316212208
Affective	PT0.05	Moto	0.18883140005832139	0.08155849566265252
Affective	PT0.05	Sle	0.2134282414344118	0.06405722922936499
Affective	PT0.05	Sui	0.1233591115361102	0.05434731793314841
Affective	PT0.25	Anh	0.24260526697413376	0.047803985959008886
Affective	PT0.25	App	0.16420648056326526	0.055140194748612106
Affective	PT0.25	Conc	0.14594402379907934	0.061484419538744485
Affective	PT0.25	Dep	0.17638117907202203	0.0471753052303717
Affective	PT0.25	Fatig	0.11669739437620363	0.06649747247528164
Affective	PT0.25	Guilt	0.33319088868896074	0.056837000246271766
Affective	PT0.25	Moto	0.1257452445381108	0.08211510037777528
Affective	PT0.25	Sle	0.19845979192330254	0.06410261761169679
Affective	PT0.25	Sui	0.12700396978512513	0.05464708190710365
Affective	PT1	Anh	0.23805479822416875	0.047915684773588624
Affective	PT1	App	0.14407709588268203	0.05541239954405088
Affective	PT1	Conc	0.14485871683645846	0.06187550730427274
Affective	PT1	Dep	0.17317866061093593	0.04727561238830325
Affective	PT1	Fatig	0.10893749263097613	0.06693734466018034
Affective	PT1	Guilt	0.3139739054705987	0.057104842758726744
Affective	PT1	Moto	0.14568687653973642	0.08313954982850276
Affective	PT1	Sle	0.17226317439126831	0.06448027951052054
Affective	PT1	Sui	0.1367918161947578	0.054914925095028266
Common	PT0.025	Anh	0.2534444489884118	0.047922147516305705
Common	PT0.025	App	0.21829447003943925	0.05489592272655846
Common	PT0.025	Conc	0.1864073738996203	0.061421271004725525
Common	PT0.025	Dep	0.16809560328543433	0.04731428882376563
Common	PT0.025	Fatig	0.17092109009872633	0.06666445226128938
Common	PT0.025	Guilt	0.28323836202688324	0.05652951246476861
Common	PT0.025	Moto	0.14390552776740811	0.08295431655955028
Common	PT0.025	Sle	0.20581524295436782	0.06405077956913677
Common	PT0.025	Sui	0.18058911332889854	0.054328999502882336
Common	PT0.05	Anh	0.27254416455793373	0.04790294117274109
Common	PT0.05	App	0.24684932704365492	0.054844412785805284
Common	PT0.05	Conc	0.19626474503540753	0.0610189556440293
Common	PT0.05	Dep	0.1780880299954079	0.04722834688634189
Common	PT0.05	Fatig	0.16471032668447777	0.06601072818120657
Common	PT0.05	Guilt	0.2899594406305789	0.0563202588759525
Common	PT0.05	Moto	0.1457640936927375	0.0821849406867054
Common	PT0.05	Sle	0.23499237426003486	0.06355856283169259
Common	PT0.05	Sui	0.2040332646183462	0.0543019648197244
Common	PT0.25	Anh	0.3035565058476496	0.048676011568015785
Common	PT0.25	App	0.2276025075982515	0.05641043038439961
Common	PT0.25	Conc	0.20487052841237752	0.0627666153485985
Common	PT0.25	Dep	0.20019405774395813	0.04786890865018578
Common	PT0.25	Fatig	0.1950979017517785	0.06806488090909125
Common	PT0.25	Guilt	0.3367912514418994	0.05806047001233987
Common	PT0.25	Moto	0.19515433371292612	0.08486564468984896
Common	PT0.25	Sle	0.25204963014522386	0.06559851793914823
Common	PT0.25	Sui	0.19769786880870688	0.055840787992234624
Common	PT1	Anh	0.2807000816199554	0.048536255465174843
Common	PT1	App	0.20878697280202563	0.05614613475523341
Common	PT1	Conc	0.187547614003723	0.062478825796229154
Common	PT1	Dep	0.19335047068285727	0.04779039901981481
Common	PT1	Fatig	0.17135791488937502	0.06763752723516071
Common	PT1	Guilt	0.3196358308694918	0.057791823355378386
Common	PT1	Moto	0.14425788159432146	0.08436641704185607
Common	PT1	Sle	0.22772372810470326	0.06520298425094917
Common	PT1	Sui	0.16686607850277801	0.05563228197339865
