Study	MDD	Symptom	Status	N
BonnMH	Case	MDD1	Absent	7
BonnMH	Case	MDD1	Present	550
BonnMH	Case	MDD1	NA	40
BonnMH	Case	MDD2	Absent	10
BonnMH	Case	MDD2	Present	544
BonnMH	Case	MDD2	NA	43
BonnMH	Case	MDD3a	Absent	205
BonnMH	Case	MDD3a	Present	391
BonnMH	Case	MDD3a	NA	1
BonnMH	Case	MDD3b	Absent	511
BonnMH	Case	MDD3b	Present	85
BonnMH	Case	MDD3b	NA	1
BonnMH	Case	MDD4a	Absent	123
BonnMH	Case	MDD4a	Present	473
BonnMH	Case	MDD4a	NA	1
BonnMH	Case	MDD4b	Absent	536
BonnMH	Case	MDD4b	Present	60
BonnMH	Case	MDD4b	NA	1
BonnMH	Case	MDD5a	Absent	269
BonnMH	Case	MDD5a	Present	328
BonnMH	Case	MDD5b	Absent	312
BonnMH	Case	MDD5b	Present	284
BonnMH	Case	MDD5b	NA	1
BonnMH	Case	MDD6	Absent	21
BonnMH	Case	MDD6	Present	529
BonnMH	Case	MDD6	NA	47
BonnMH	Case	MDD7	Absent	122
BonnMH	Case	MDD7	Present	428
BonnMH	Case	MDD7	NA	47
BonnMH	Case	MDD8	Absent	42
BonnMH	Case	MDD8	Present	502
BonnMH	Case	MDD8	NA	53
BonnMH	Case	MDD9	Absent	151
BonnMH	Case	MDD9	Present	401
BonnMH	Case	MDD9	NA	45
COFAMS	Control	MDD1	Absent	120
COFAMS	Control	MDD1	Present	3
COFAMS	Control	MDD1	NA	3
COFAMS	Control	MDD2	Absent	118
COFAMS	Control	MDD2	Present	5
COFAMS	Control	MDD2	NA	3
COFAMS	Control	MDD3a	Absent	119
COFAMS	Control	MDD3a	Present	4
COFAMS	Control	MDD3a	NA	3
COFAMS	Control	MDD3b	Absent	123
COFAMS	Control	MDD3b	NA	3
COFAMS	Control	MDD4a	Absent	120
COFAMS	Control	MDD4a	Present	3
COFAMS	Control	MDD4a	NA	3
COFAMS	Control	MDD4b	Absent	122
COFAMS	Control	MDD4b	Present	1
COFAMS	Control	MDD4b	NA	3
COFAMS	Control	MDD5a	Absent	123
COFAMS	Control	MDD5a	NA	3
COFAMS	Control	MDD5b	Absent	120
COFAMS	Control	MDD5b	Present	3
COFAMS	Control	MDD5b	NA	3
COFAMS	Control	MDD6	Absent	119
COFAMS	Control	MDD6	Present	4
COFAMS	Control	MDD6	NA	3
COFAMS	Control	MDD7	Absent	119
COFAMS	Control	MDD7	Present	4
COFAMS	Control	MDD7	NA	3
COFAMS	Control	MDD8	Absent	120
COFAMS	Control	MDD8	Present	3
COFAMS	Control	MDD8	NA	3
COFAMS	Control	MDD9	Absent	121
COFAMS	Control	MDD9	Present	2
COFAMS	Control	MDD9	NA	3
COFAMS	Case	MDD1	Absent	13
COFAMS	Case	MDD1	Present	105
COFAMS	Case	MDD1	NA	3
COFAMS	Case	MDD2	Absent	15
COFAMS	Case	MDD2	Present	103
COFAMS	Case	MDD2	NA	3
COFAMS	Case	MDD3a	Absent	40
COFAMS	Case	MDD3a	Present	78
COFAMS	Case	MDD3a	NA	3
COFAMS	Case	MDD3b	Absent	104
COFAMS	Case	MDD3b	Present	14
COFAMS	Case	MDD3b	NA	3
COFAMS	Case	MDD4a	Absent	25
COFAMS	Case	MDD4a	Present	93
