MDD	Symptom	Status	N
Case	MDD1	Absent	914
Case	MDD1	Present	12689
Case	MDD2	Absent	1451
Case	MDD2	Present	11671
Case	MDD3a	Absent	6370
Case	MDD3a	Present	7060
Case	MDD3b	Absent	9421
Case	MDD3b	Present	2930
Case	MDD4a	Absent	3340
Case	MDD4a	Present	10209
Case	MDD4b	Absent	7859
Case	MDD4b	Present	3440
Case	MDD5a	Absent	5533
Case	MDD5a	Present	5510
Case	MDD5b	Absent	6405
Case	MDD5b	Present	5815
Case	MDD6	Absent	1736
Case	MDD6	Present	11833
Case	MDD7	Absent	3072
Case	MDD7	Present	10113
Case	MDD8	Absent	1501
Case	MDD8	Present	11209
Case	MDD9	Absent	6194
Case	MDD9	Present	7221
Control	MDD1	Absent	2809
Control	MDD1	Present	364
Control	MDD2	Absent	2591
Control	MDD2	Present	234
Control	MDD3a	Absent	2742
Control	MDD3a	Present	83
Control	MDD3b	Absent	2804
Control	MDD3b	Present	21
Control	MDD4a	Absent	2639
Control	MDD4a	Present	186
Control	MDD4b	Absent	2793
Control	MDD4b	Present	32
Control	MDD5a	Absent	2738
Control	MDD5a	Present	87
Control	MDD5b	Absent	2756
Control	MDD5b	Present	69
Control	MDD6	Absent	2602
Control	MDD6	Present	223
Control	MDD7	Absent	2703
Control	MDD7	Present	122
Control	MDD8	Absent	2719
Control	MDD8	Present	106
Control	MDD9	Absent	2779
Control	MDD9	Present	46
