reference	cidi_sample	mhq_sample
MDD1	0.5476554536187563	0.5476554536187563
MDD2	0.39536810441521364	0.39536810441521364
MDD3	0.597695225257371	0.31447603551735887
MDD3a	0.42269621641623384	0.22240068976546584
MDD3b	0.23949041218993247	0.12600735657119813
MDD4	0.79771087335158	0.42152391892546487
MDD4a	0.7510013789480596	0.3960810932489247
MDD4b	0.16672138682776283	0.08792951785949285
MDD6	0.819006452421224	0.4417928806525956
MDD7	0.5096421387359824	0.27989204135768575
MDD8	0.7866338652934278	0.4209618008185539
MDD9	0.5209156804910379	0.2871965711802698
