study	reference	dataset	N_cases	N_controls	N_eff_half	LAMBDA-GC	N-SNPs
bidi1	MDD1	MDD1_bidi1	400	411	405	0.999	6892871
gep3	MDD1	MDD1_gep3	219	243	230	1.004	6331102
nes1	MDD1	MDD1_nes1	1214	161	284	0.996	7016537
rot4	MDD1	MDD1_rot4	52	164	78	1.021	5401975
stm2	MDD1	MDD1_stm2	866	67	124	0.947	6450212
twg2	MDD1	MDD1_twg2	858	56	105	0.973	6752150
bidi1	MDD2	MDD2_bidi1	414	397	405	1.005	6903140
gens	MDD2	MDD2_gens	910	106	189	0.97	6877377
gep3	MDD2	MDD2_gep3	218	244	230	1.024	6330963
grnd	MDD2	MDD2_grnd	752	65	119	0.931	6729105
nes1	MDD2	MDD2_nes1	1192	183	317	0.978	7120745
qi3c	MDD2	MDD2_qi3c	423	78	131	0.981	6397174
qi6c	MDD2	MDD2_qi6c	212	33	57	1.006	5714186
rad3	MDD2	MDD2_rad3	1587	61	117	0.994	6893880
rot4	MDD2	MDD2_rot4	133	83	102	1.011	5401821
stm2	MDD2	MDD2_stm2	840	93	167	0.958	6638864
twg2	MDD2	MDD2_twg2	666	184	288	0.98	7188397
bidi1	MDD3a	MDD3a_bidi1	279	532	366	1	6916344
col3	MDD3a	MDD3a_col3	245	261	252	1.014	6240299
gens	MDD3a	MDD3a_gens	556	463	505	0.986	7138009
gep3	MDD3a	MDD3a_gep3	234	228	230	1.007	6330501
grnd	MDD3a	MDD3a_grnd	460	360	403	0.976	7026143
mmi2	MDD3a	MDD3a_mmi2	212	319	254	1.016	6591422
mmo4	MDD3a	MDD3a_mmo4	76	163	103	1.032	5730429
nes1	MDD3a	MDD3a_nes1	618	757	680	1.011	7189230
qi3c	MDD3a	MDD3a_qi3c	299	263	279	1.002	6483404
qi6c	MDD3a	MDD3a_qi6c	144	129	136	1.016	5752101
qio2	MDD3a	MDD3a_qio2	150	171	159	1.011	5843717
rad3	MDD3a	MDD3a_rad3	943	618	746	1.001	7253816
rage	MDD3a	MDD3a_rage	177	132	151	1.016	5893361
rau2	MDD3a	MDD3a_rau2	115	102	108	1.017	5405555
rot4	MDD3a	MDD3a_rot4	66	150	91	1.019	5401975
stm2	MDD3a	MDD3a_stm2	446	473	459	0.988	6776834
twg2	MDD3a	MDD3a_twg2	399	539	458	0.985	7294868
bidi1	MDD3b	MDD3b_bidi1	282	529	367	0.998	6914883
col3	MDD3b	MDD3b_col3	56	450	99	1.014	6241946
gens	MDD3b	MDD3b_gens	310	709	431	1.008	7189212
gep3	MDD3b	MDD3b_gep3	234	228	230	1.007	6330501
grnd	MDD3b	MDD3b_grnd	250	570	347	1.009	7070100
nes1	MDD3b	MDD3b_nes1	430	945	591	1.008	7202866
qi3c	MDD3b	MDD3b_qi3c	111	460	178	1.006	6490464
qi6c	MDD3b	MDD3b_qi6c	81	199	115	1.034	5752247
qio2	MDD3b	MDD3b_qio2	67	266	107	1.01	5843881
rad3	MDD3b	MDD3b_rad3	309	1263	496	1.022	7260487
rau2	MDD3b	MDD3b_rau2	68	149	93	1.038	5405582
stm2	MDD3b	MDD3b_stm2	352	298	322	0.989	6751064
twg2	MDD3b	MDD3b_twg2	95	843	170	1.025	7326930
bidi1	MDD4a	MDD4a_bidi1	328	483	390	1.017	6909742
col3	MDD4a	MDD4a_col3	307	199	241	1.003	6239107
gens	MDD4a	MDD4a_gens	714	305	427	0.981	7093365
gep3	MDD4a	MDD4a_gep3	325	137	192	1.023	6323664
grnd	MDD4a	MDD4a_grnd	523	297	378	0.992	7037271
mmi2	MDD4a	MDD4a_mmi2	394	137	203	1.001	6548689
mmo4	MDD4a	MDD4a_mmo4	155	82	107	1.014	5728773
nes1	MDD4a	MDD4a_nes1	1013	362	533	0.998	7130957
qi3c	MDD4a	MDD4a_qi3c	488	93	156	0.979	6438880
qi6c	MDD4a	MDD4a_qi6c	246	38	65	1.005	5729718
qio2	MDD4a	MDD4a_qio2	277	65	105	0.998	5817884
rad3	MDD4a	MDD4a_rad3	1106	449	638	1.008	7312906
rage	MDD4a	MDD4a_rage	239	72	110	1.017	5881869
rau2	MDD4a	MDD4a_rau2	124	92	105	1.017	5405493
rde4	MDD4a	MDD4a_rde4	32	27	29	1.098	3099344
twg2	MDD4a	MDD4a_twg2	739	212	329	0.989	7139485
col3	MDD4b	MDD4b_col3	121	385	184	1.006	6241942
gens	MDD4b	MDD4b_gens	556	463	505	0.99	7136177
gep3	MDD4b	MDD4b_gep3	325	137	192	1.023	6323664
grnd	MDD4b	MDD4b_grnd	472	348	400	0.99	7045603
nes1	MDD4b	MDD4b_nes1	551	824	660	0.999	7186529
qi3c	MDD4b	MDD4b_qi3c	84	496	143	1.008	6490504
qi6c	MDD4b	MDD4b_qi6c	81	201	115	1.025	5752248
qio2	MDD4b	MDD4b_qio2	64	276	103	1.018	5843877
rad3	MDD4b	MDD4b_rad3	302	963	459	1.004	7259202
rau2	MDD4b	MDD4b_rau2	105	104	104	1.035	5405565
stm2	MDD4b	MDD4b_stm2	217	716	333	1.004	6819833
cof3	MDD5a	MDD5a_cof3	53	64	57	1.05	4407607
col3	MDD5a	MDD5a_col3	215	291	247	1.005	6241586
gens	MDD5a	MDD5a_gens	345	664	454	0.995	7182087
